program_name_en,category,program_id,university
Master of Science in Sociology,社会学与社工,7357fe6b-befd-4e08-85c5-1e46607ef44e,Ghent University
Master of Social Work,社会学与社工,43cf48f4-d398-4452-8987-e1e470f9a12a,Washington University in St. Louis
MA Social and Public Policy,社会学与社工,e4881af5-13e3-46dd-aefd-f7ff4da22ea1,University of York(United Kingdom)
MA Social Work,社会学与社工,d5a74043-2109-4e9f-9a66-e9fe12973d71,University of York(United Kingdom)
MA Criminology,社会学与社工,91feda1a-de5e-4e83-91c7-7ce220931e4d,University of York(United Kingdom)
MA Global Culture and Society,社会学与社工,a4ed5d7e-fb00-4b1a-ae47-4fb9108d9a42,University of York(United Kingdom)
MA Social Research,社会学与社工,5a2ba64e-244a-471c-a453-b48739988f6e,University of York(United Kingdom)
MA Applied Human Rights,社会学与社工,311d8f11-0916-4fdb-82b1-3102ab9b5a6d,University of York(United Kingdom)
MA Women's and Gender Studies,社会学与社工,648aad47-47a6-450c-8eea-b2be116e1df0,University of York(United Kingdom)
"MA Women, Violence and Conflict",社会学与社工,3d40b172-8939-4656-8f1f-64372d832ac3,University of York(United Kingdom)
MSc Social Science Research Methods (Politics),社会学与社工,708fac3b-02c7-4094-8f23-d94ad701033a,Cardiff University
MSc Social Science Research Methods (Psychology),社会学与社工,2d7713f7-823d-4b5c-b23e-8d7115b15dc4,Cardiff University
MSc Social Science Research Methods (Science and Technology Studies),社会学与社工,83340f18-b382-4490-937f-133f8844fc15,Cardiff University
MSc Social Science Research Methods (Social Policy),社会学与社工,95aaaf06-cf68-4297-85c2-2bcde338517e,Cardiff University
MSc Social Science Research Methods (Social Work),社会学与社工,fbc3e97f-342f-4f0c-8511-af96f08df7bd,Cardiff University
MSc Social Science Research Methods (Social-Legal) (Law),社会学与社工,a3ff40bc-7d3d-4b47-bae7-a654d8c7fa96,Cardiff University
MSc Social Science Research Methods (Sociology),社会学与社工,8ebad0d7-7551-4aa9-98e8-69ed71b90b4c,Cardiff University
MSc Social Science Research Methods (Criminology),社会学与社工,8697b6a0-8894-4365-bb14-e228803f8088,Cardiff University
MSc International Criminology and Criminal Justice,社会学与社工,f9e2d761-243a-4c23-9cb1-d61665f1da03,Cardiff University
MA Social Work,社会学与社工,e02f4afe-0935-4ee1-a486-281728b6ac9f,Cardiff University
MSc Sociology,社会学与社工,409eb225-7b11-4942-9817-809a130cf03d,Cardiff University
MS in Quantitative Theory and Methods program,社会学与社工,1c10e54f-a878-4cf8-9dbf-52735f4c4eba,Emory University
Master of Social Work (Qualifying),社会学与社工,28dff493-08d2-41c3-aae7-cd4c26dfa9b6,Curtin University
Master of Social Work,社会学与社工,5e6b1b98-2cae-454d-891d-2f393d1bea17,Ohio State University
MSc Children's Rights,社会学与社工,d400f8b8-7c32-4833-be3c-a1ce75f6e71c,Queen's University Belfast
MA Anthropology,社会学与社工,129e6208-92fd-4eed-8509-f82aaa97b1c3,Queen's University Belfast
