大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,专业类别
University of Southern California,M.S.,Mathematical Data Science M.S.,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/math-data-science/admissions-2/,https://dornsife.usc.edu/math-data-science/,https://dornsife.usc.edu,
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,Cockrell School of Engineering,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,https://engr.utexas.edu,
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,Cockrell School of Engineering,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,https://engr.utexas.edu,
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,Cockrell School of Engineering,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,https://engr.utexas.edu,
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,Cockrell School of Engineering,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,https://engr.utexas.edu,
"University of California, Irvine",MDS,Master of Data Science,信息与计算机科学学院,Donald Bren School of Information and Computer Sciences,https://mds.ics.uci.edu/overview/admissions/,https://mds.ics.uci.edu/,https://www.ics.uci.edu,
Georgia Institute of Technology,MS,Analytics,商学院,H. Milton Stewart School of Industrial and Systems Engineering,https://www.analytics.gatech.edu/admissions,https://www.analytics.gatech.edu/,https://www.isye.gatech.edu,
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,College of Letters and Science,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,https://www.ltsc.ucsb.edu/,
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,College of Letters & Science,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,https://lettersandsience.ucsb.edu/,
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,College of Letters and Science,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,https://www.ltsc.ucsb.edu,
New York University,Ph.D,Data Science ,文理研究生院,Graduate School of Arts & Science,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/phd-curriculum/,https://gsas.nyu.edu,
New York University,MS,Data Science ,文理研究生院,Graduate School of Arts & Science,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-curriculum/,https://gsas.nyu.edu,
New York University,MS,Data Science （Industry Concentration）,文理研究生院,NYU Center for Data Science,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-industry-concentration/,https://cds.nyu.edu,
New York University,MS,MS in Data Analytics & Business Computing,商学院,Leonard N. Stern School of Business,https://stern.shanghai.nyu.edu/en/admissions/ms-data-analytics-and-business-computing/application-checklist,https://stern.shanghai.nyu.edu/en/program/ms-data-analytics-business-computing,https://www.stern.nyu.edu,
"University of Wisconsin, Madison",M.S.,MS – Data Engineering,文理学院,School of Computer,https://guide.wisc.edu/graduate/computer-sciences/data-engineering-ms/#admissionstext,https://www.cs.wisc.edu/our-graduate-degrees-programs/,https://cdis.wisc.edu,
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,School of Computer,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,https://cdis.wisc.edu/,
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,School of Computer,https://guide.wisc.edu/graduate/statistics/statistics-ms/statistics-statistics-data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/data-science-option/,https://cdis.wisc.edu/,
"University of Wisconsin, Madison",MS,Data Science,文理学院,School of Computer,https://guide.wisc.edu/graduate/statistics/data-science-ms/#admissionstext,https://stat.wisc.edu/graduate-admissions/ms-datascience/,https://cdis.wisc.edu/,
